                  name                  	     objname     	   celposj(pgc)   	      type       	       bar       	      ring       	    multiple     	   compactness   	        t        	       e_t       	     logd25      	    e_logd25     	     logr25      	    e_logr25     	       pa        	      m21c       
ESO362-18                               	  ESO362-018     	 J051935.8-323928 	 S0-a            	 B               	                 	 M               	                 	0.1	0.7	1.139	0.058	0.322	0.052	144.74	16.051
ESO374-G044                             	  ESO374-044     	 J101319.9-355858 	 SBa             	 B               	                 	                 	                 	1.2	0.8	1.068	0.037	0.231	0.027	109.75	16.718
ESO383-18                               	  ESO383-018     	 J133326.1-340054 	 Sb              	                 	                 	                 	                 	2.6	3.1	0.98	0.08	0.598	0.053	88.2	                 
ESO399-20                               	  ESO399-020     	 J200657.7-343257 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 
ESO417-G006                             	  ESO417-006     	 J025621.5-321108 	 S0-a            	                 	                 	                 	                 	-0.4	0.9	1.097	0.04	0.067	0.024	104.55	                 
ESO426-G002                             	  ESO426-002     	 J062346.4-321300 	 S0-a            	 B               	 R               	                 	                 	0.1	0.6	1.099	0.038	0.041	0.027	                 	                 
ESO439-G009                             	  ESO439-009     	 J112723.4-291527 	 SBab            	 B               	 R               	                 	                 	1.5	1.2	1.12	0.042	0.464	0.024	100.43	                 
ESO464-G016                             	  ESO464-016     	 J210223.8-281029 	 SBb             	 B               	 R               	                 	                 	3	0.5	1.359	0.039	0.8	0.028	29.47	                 
ESO479-G031                             	  ESO479-031     	 J024447.7-243051 	 S0              	 B               	                 	                 	                 	-2	0.4	0.958	0.055	0.158	0.036	151.94	                 
ESO490-IG026                            	  ESO490-026     	 J064011.7-255343 	 S?              	                 	                 	 M               	                 	1.8	5	1.157	0.048	0.267	0.049	22.04	                 
ESO499-G041                             	  ESO499-041     	 J100555.4-230325 	 S0-a            	 B               	 R               	                 	                 	-1.1	0.6	1.019	0.043	0.58	0.028	96.37	                 
ESO506-G027                             	  ESO506-027     	 J123854.6-271828 	 S0-a            	                 	                 	                 	                 	-0.8	0.9	1.127	0.035	0.376	0.031	69	                 
ESO509-G038                             	  ESO509-038     	 J133113.8-252410 	 S0-a            	                 	                 	                 	                 	-1	2	1.087	0.04	0.39	0.027	35.35	                 
ESO509-IG066NED01                       	  PGC047848      	 J133439.6-232647 	 Sa              	                 	                 	 M               	                 	1	2	0.809	0.064	0.16	0.027	74.89	                 
ESO511-G030                             	  ESO511-030     	 J141922.4-263841 	 Sc              	                 	                 	                 	                 	5	0.4	1.15	0.041	0.185	0.032	                 	14.734
ESO533-G050                             	  ESO533-050     	 J223449.8-254037 	 S0-a            	 B               	 R               	                 	                 	-0.1	0.6	1.137	0.038	0.075	0.026	175.93	                 
ESO548-G081                             	  ESO548-081     	 J034203.7-211440 	 SBa             	 B               	                 	                 	                 	0.9	0.6	1.277	0.041	0.279	0.048	141.44	                 
ESO549-G049                             	  ESO549-049     	 J040225.7-180251 	 Sbc             	                 	                 	                 	                 	3.8	1.4	0.884	0.069	0.148	0.031	20.01	                 
ESO553-G022                             	  ESO553-022     	 J051157.8-182938 	 S0-a            	                 	                 	                 	                 	-0.4	2.2	0.933	0.043	0.111	0.025	                 	                 
ESO553-G043                             	  ESO553-043     	 J052627.3-211711 	 S0-a            	                 	 R               	                 	                 	-1.1	0.5	0.898	0.048	0.088	0.023	72.02	                 
ESO565-G019                             	  ESO565-019     	 J093443.6-215539 	 E               	                 	                 	                 	                 	-3.6	1.7	1.096	0.049	0.213	0.035	172.07	                 
ESO578-G009                             	  ESO578-009     	 J135636.7-193145 	 Sbc             	                 	                 	                 	                 	4.2	3	1.081	0.037	0.72	0.028	27.6	                 
Fairall1146                             	  PGC024297      	 J083830.8-355934 	 Sc              	                 	                 	                 	                 	4.7	2.6	0.81	0.062	0.28	0.028	16.5	                 
Fairall272                              	  PGC023515      	 J082301.1-045604 	 Sa              	                 	                 	                 	                 	1.1	3.1	1.001	0.047	0.296	0.032	29.34	                 
Fairall49                               	  PGC062134      	 J183658.2-592408 	 E-S0            	                 	                 	                 	                 	-3	2	                 	                 	                 	                 	120	                 
Fairall51                               	  ESO140-043     	 J184454.0-622153 	 SBb             	 B               	                 	                 	                 	3.5	1	1.334	0.027	0.424	0.028	168.56	14.698
Fairall9                                	  ESO113-045     	 J012345.8-584821 	 S0              	                 	                 	 M               	                 	-2.4	1.5	1.011	0.038	0.205	0.027	114.69	                 
HB890241+622                            	  PGC074110      	 J024457.7+622802 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 
IC0486                                  	  IC0486         	 J080021.0+263649 	 SBa             	 B               	 R               	                 	                 	1.1	0.6	0.942	0.047	0.123	0.026	138.33	15.727
IC1657                                  	  IC1657         	 J011407.0-323903 	 SBbc            	 B               	                 	                 	                 	3.8	0.7	1.365	0.031	0.646	0.02	169.58	13.6
IC1816                                  	  IC1816         	 J023151.0-364019 	 SBab            	 B               	 R               	                 	                 	2.1	0.6	1.1	0.034	0.014	0.027	                 	                 
IC2461                                  	  IC2461         	 J091958.0+371128 	 Sb              	                 	                 	                 	                 	3.3	0.7	1.382	0.041	0.677	0.05	142.88	13.947
IC2637                                  	  IC2637         	 J111349.7+093511 	 E-S0            	 B               	                 	 M               	                 	-3.2	2.2	0.989	0.092	0.052	0.048	61.59	                 
IC2921                                  	  PGC3091281     	 J113249.3+101747 	 Sa              	                 	 R               	                 	                 	1	2	0.773	0.188	0.372	0.084	124.19	                 
IC4329A                                 	  IC4329A        	 J134919.3-301834 	 S0-a            	                 	                 	                 	                 	-1	0.5	1.198	0.028	0.248	0.029	46.2	                 
IC4518A                                 	  IC4518A        	 J145741.1-430755 	 Sc              	                 	                 	 M               	                 	4.9	0.6	0.963	0.153	0.458	0.069	135	                 
IC4709                                  	  IC4709         	 J182419.4-562209 	 Sab             	                 	                 	                 	                 	1.5	1.5	1.069	0.063	0.299	0.052	4.97	                 
IC5063                                  	  IC5063         	 J205202.3-570408 	 S0-a            	                 	                 	                 	                 	-1.2	0.6	1.429	0.024	0.148	0.022	119.98	14.981
IGRJ11366-6002                          	  2MIG1607       	 J113642.0-600307 	 Sa              	                 	                 	                 	                 	1	2	                 	                 	                 	                 	                 	                 
IGRJ23308+7120                          	  PGC2742800     	 J233037.7+712246 	                 	                 	                 	                 	                 	                 	                 	0.58	0.086	0.02	0.028	                 	                 
IISZ010                                 	  PGC045913      	 J131305.8-110742 	                 	                 	                 	                 	                 	                 	                 	0.552	0.168	0.124	0.048	77.5	                 
IIZw083                                 	  PGC064705      	 J202656.1-021640 	 E-S0            	                 	                 	                 	                 	-2.8	3	0.746	0.177	0.029	0.044	                 	                 
IRAS03219+4031                          	  PGC097012      	 J032513.0+404153 	 Sbc             	                 	                 	                 	                 	3.8	2.7	0.52	0.094	0.35	0.028	121	                 
IRAS04124-0803                          	  PGC014727      	 J041452.7-075540 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 
IRAS05078+1626                          	  PGC016865      	 J051050.4+162835 	 E               	                 	                 	                 	 C               	-4	2	1.05	0.046	0.1	0.028	                 	                 
IRAS05218-1212                          	  PGC017233      	 J052406.9-121009 	 E               	                 	                 	                 	                 	-5	2	                 	                 	                 	                 	0	                 
IRAS05589+2828                          	  PGC3095730     	 J060210.6+282818 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 
KAZ320                                  	  PGC070195      	 J225932.9+245506 	                 	                 	                 	                 	                 	                 	                 	0.456	0.102	0.056	0.031	120.5	                 
KUG1141+371                             	  PGC036541      	 J114429.9+365309 	 SBbc            	 B               	 R               	                 	                 	3.7	2.4	0.81	0.06	0.055	0.028	5.36	                 
KUG1208+386                             	  PGC038759      	 J121044.3+382010 	 E               	                 	                 	                 	                 	-5	2	0.814	0.062	0.063	0.03	170.99	                 
LCRSB034324.7-394349                    	  PGC074977      	 J034512.5-393429 	 Sc              	                 	                 	                 	                 	5	2	0.793	0.054	0.055	0.025	                 	                 
LCRSB232242.2-384320                    	  PGC089420      	 J232524.2-382649 	 E               	                 	                 	                 	                 	-5	2	0.812	0.124	0.038	0.053	                 	                 
LEDA138501                              	  PGC138501      	 J020937.7+522638 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 
LEDA170194                              	  PGC170194      	 J123906.3-161047 	 S0              	                 	                 	                 	                 	-2	2	0.94	0.17	0.114	0.09	8	                 
LEDA214543                              	  PGC214543      	 J165042.8+043618 	 E               	                 	                 	                 	                 	-4	2	0.762	0.065	0.22	0.028	124	                 
LEDA38038                               	  PGC038038      	 J120247.7-535008 	 S0              	 B               	                 	                 	                 	-2	0.5	1.172	0.129	0.341	0.108	                 	                 
M106                                    	  NGC4258        	 J121857.6+471814 	 Sbc             	 B               	                 	 M               	                 	4	0.2	2.23	0.016	0.37	0.046	150	11.206
MCG-01-05-047                           	  PGC006966      	 J015249.0-032649 	 Sc              	                 	                 	                 	                 	5	0.4	1.507	0.023	0.882	0.022	160.29	14.247
MCG-01-09-045                           	  PGC013068      	 J033123.0-050830 	 Sc              	                 	                 	                 	                 	5	2	0.997	0.05	0.117	0.026	89.95	                 
MCG-01-13-025                           	  PGC016185      	 J045141.5-034834 	 S0-a            	 B               	                 	                 	                 	-1.1	0.5	1.039	0.054	0.143	0.029	35.42	                 
MCG-01-24-012                           	  PGC026440      	 J092046.2-080322 	 SABc            	 B               	 R               	                 	                 	5	0.5	1.13	0.04	0.358	0.03	39.75	15.607
MCG-01-30-041                           	  PGC037215      	 J115238.1-051224 	 S0-a            	                 	                 	                 	                 	-0.1	0.5	1.058	0.086	0.192	0.042	20	17.37
MCG-01-33-063                           	  PGC044738      	 J130019.1-080515 	 Sbc             	                 	                 	                 	                 	4	1.2	1.158	0.038	0.702	0.026	171.5	15.233
MCG-01-40-001                           	  PGC055410      	 J153320.7-084202 	 Sb              	                 	                 	                 	                 	3.2	1.6	1.172	0.035	0.351	0.023	71.5	16.374
MCG-02-02-095                           	  PGC002573      	 J004308.8-113603 	 S0-a            	                 	                 	                 	                 	-1	2	0.66	0.329	0.346	0.081	110	                 
MCG-02-08-014                           	  PGC010875      	 J025223.4-083038 	 Sab             	                 	                 	                 	                 	1.6	1.4	1.251	0.028	0.794	0.024	95.42	                 
MCG-02-08-038                           	  PGC011348      	 J030004.3-104928 	 SABb            	 B               	                 	                 	                 	2.5	1.5	1.025	0.051	0.282	0.024	35.5	                 
MCG-02-12-050                           	  PGC015703      	 J043814.0-104745 	 Sb              	 B               	                 	                 	                 	3.2	1.6	1.023	0.046	0.278	0.038	47.69	                 
MCG-02-14-009                           	  PGC017016      	 J051621.2-103342 	 Sbc             	 B               	 R               	                 	                 	4	1.6	1.022	0.056	0.088	0.027	105	                 
MCG-03-04-072                           	  PGC005478      	 J012806.7-184831 	 S0-a            	                 	                 	                 	                 	-1	2	0.798	0.054	0.196	0.025	40.66	                 
MCG-03-34-064                           	  PGC046718      	 J132224.5-164342 	 S0              	                 	                 	                 	                 	-2	2	1.129	0.037	0.172	0.026	74.5	                 
MCG-05-23-016                           	  ESO434-040     	 J094740.2-305656 	 S0-a            	                 	                 	                 	                 	-1.3	1.5	1.031	0.074	0.24	0.044	52	                 
MCG-06-30-015                           	  ESO383-035     	 J133553.8-341744 	 Sab             	                 	                 	                 	                 	2	3.3	1.011	0.054	0.24	0.034	116	                 
MCG-07-03-007                           	  PGC003873      	 J010526.8-421258 	 Sa              	                 	                 	                 	                 	1	2	0.908	0.072	0.361	0.04	103.34	                 
MCG+00-09-042                           	  UGC02638       	 J031702.2+011518 	 SBab            	 B               	                 	                 	                 	2	0.3	1.061	0.037	0.703	0.022	6.54	                 
MCG+01-57-016                           	  UGC12138       	 J224017.0+080313 	 SBa             	 B               	                 	                 	                 	1	0.4	0.786	0.065	0.024	0.028	                 	15.894
MCG+02-21-013                           	  UGC04211       	 J080446.5+104638 	 Sd              	                 	                 	                 	                 	7.6	1.5	1.043	0.041	0.355	0.026	30.78	16.114
MCG+02-57-002                           	  PGC068747      	 J222345.0+115009 	 Sb              	                 	                 	                 	                 	2.7	3	0.689	0.274	0.082	0.095	147.5	                 
MCG+04-22-042                           	  PGC026614      	 J092343.0+225433 	 SBa             	 B               	                 	                 	                 	1	2	0.972	0.146	0.242	0.063	175.74	                 
MCG+04-48-002                           	  PGC064775      	 J202835.1+254400 	 Sd              	                 	                 	                 	                 	7.9	2.3	1.005	0.05	0.463	0.034	66.5	                 
MCG+05-03-013                           	  UGC00524       	 J005135.0+292404 	 SBb             	 B               	 R               	                 	                 	3.1	0.4	0.999	0.05	0.05	0.03	125	16.494
MCG+05-28-032                           	  PGC036880      	 J114845.9+293829 	 SBa             	 B               	                 	                 	                 	0.5	1.5	0.888	0.061	0.327	0.029	11.08	15.198
MCG+06-16-028                           	  UGC03752       	 J071403.9+351646 	 S0-a            	                 	                 	                 	                 	0	2	0.685	0.166	0.075	0.051	70	16.996
MCG+06-24-008                           	  UGC05856       	 J104449.0+381052 	 Sb              	                 	                 	                 	                 	3	1.4	0.916	0.106	0.638	0.057	96.68	                 
MCG+06-49-019                           	  UGC12040       	 J222705.8+362142 	 S0              	 B               	                 	                 	                 	-2	0.3	1.085	0.084	0.143	0.059	                 	                 
MCG+08-11-011                           	  UGC03374       	 J055453.6+462622 	 SBbc            	 B               	                 	 M               	                 	3.6	1.5	1.354	0.061	0.048	0.057	                 	15.223
MCG+11-11-032                           	  PGC025044      	 J085512.6+642346 	 Sbc             	                 	                 	 M               	                 	4.2	2.7	0.897	0.052	0.275	0.033	47.42	                 
MCG+12-10-067                           	  PGC031994      	 J104408.5+702419 	 Sb              	                 	                 	                 	                 	2.7	1.8	0.989	0.201	0.335	0.081	20	                 
Mrk10                                   	  UGC04013       	 J074729.0+605601 	 SABb            	 B               	 R               	                 	                 	3.1	0.5	1.178	0.038	0.352	0.027	128.26	14.797
Mrk1018                                 	  UGC01597       	 J020616.0-001729 	 S0              	                 	                 	 M               	                 	-1.8	0.6	0.936	0.068	0.258	0.027	176.37	                 
Mrk1210                                 	  UGC04203       	 J080405.8+050650 	                 	                 	                 	                 	                 	                 	                 	0.931	0.108	0.016	0.053	                 	16.526
Mrk1310                                 	  PGC037916      	 J120114.4-034041 	 E               	                 	                 	                 	 C               	-5	0.5	0.728	0.065	0.167	0.029	142.72	                 
Mrk1392                                 	  PGC053898      	 J150556.6+034226 	 SBcd            	 B               	 R               	                 	                 	6.5	2.9	1.006	0.053	0.321	0.027	50.27	                 
Mrk18                                   	  UGC04730       	 J090158.4+600906 	 Sab             	                 	                 	                 	                 	1.5	2.1	0.99	0.05	0.321	0.027	89.33	                 
