AGN	"Model (chi^2/dof, P(Null Hyp.))"	N^Gal_H	N_H (Covering Fraction)	Gamma	F_0.5-2 keV	F_2-10 keV	L^int_0.5-2 keV	L^int_2-10 keV	L_14-195 keV	RL = L_5 GHz/L^int_2-10 keV
2MASX J13000533+1632151	"S2+BAT (76.32/85, 0.738)"	1.98	22.41^+0.07_-0.06	1.50^+0.11	1.38	19.78	43.12	43.51^+0.08_-0.13	44.4 (44.3)	-4.015
2MASX J13105723+0837387	"S2+BAT (14.22/7, 0.047)"	2.18	23.63^+0.26_-0.19	1.99*	0	9.12	43.19	43.26^+0.39_-0.60	43.9 (43.8)	< - 4.342
2MASX J13462846+1922432	"S2+BAT (35.21/35, 0.458)"	1.84	<21.07	1.84^+0.09_-0.08	17.04	28.48	43.52	43.68^+0.11_-0.12	44.3 (44.1dagger)	< - 5.851
2MASX J13553383+3520573	"S2+BAT (11.33/8, 0.183)"	1.23	<23.38	2.20_-0.41	0.46	20.89	43.97	43.91^+0.46_-0.35	nan (44.3)	-4.911
2MASX J14391186+1415215	"S2+BAT (20.57/15, 0.151)"	1.42	22.50^+0.21_-0.21	1.57^+0.15_-1.57	1.68	29.06	43.25	43.59^+0.17_-0.24	44.3 (44.3dagger)	< - 5.212
2MASX J14530794+2554327	"C1+BAT (79.55/72, 0.254)"	3.26	22.02^+0.17_-0.22 (0.59^+0.05_-0.07)	2.20_-0.05	51.05	79.43	43.73	43.66^+0.06_-0.06	44.1 (43.7dagger)	< - 5.682
2MASX J15064412+0351444	"C1 (14.31/17, 0.645)"	3.73	22.33^+0.54_-0.19 (0.89^+0.11_-0.31)	1.50^+0.67	4.06	36.52	42.71	43.10^+0.48_-0.49	43.7 (-)	< - 5.301
2MASX J15064412+0351444	"S2 (14.38/18, 0.704)"	3.73	22.23^+0.20_-0.14	1.50^+0.37	3.37	36.37	42.7	43.09^+0.24_-0.30	43.7 (-)	< - 5.298
3C 234	"C2 (658.26/361, 0.000)"	1.76	23.81^+0.02_-0.02 (0.98)	2.20_-0.01	0.94	12.54	44.7	44.64^+0.02_-0.00	44.9 (44.6dagger)	< - 5.331
3C 303.0	"S2 (156.02/148, 0.310)"	1.71	21.23^+0.22_-0.38	1.73^+0.13_-0.10	9.15	21.2	43.79	44.03^+0.12_-0.14	44.6 (44.6)	-2.969
Ark 347	"C1+BAT (16.63/16, 0.410)"	2.3	23.66^+0.16_-0.15 (0.96^+0.03_-0.03)	1.58^+0.15_-1.58	0.85	20.04	42.44	42.78^+0.23_-0.27	43.5 (43.5dagger)	-5.022
Ark 374	"S8 (1124.99/1015, 0.009)"	2.75	-	2.14^+0.03_-0.02	31.55	30.06	43.51	43.45^+0.02_-0.02	44.2 (43.7dagger)	-5.705
ARP 151	"C1+BAT (107.26/117, 0.729)"	1.08	21.73^+0.59_-1.99 (0.16^+0.84_-0.15)	1.78^+0.07_-0.06	51.1	92.65	42.75	42.96^+0.09_-0.09	43.3 (43.4dagger)	-5.569
ARP 151	"S2+BAT (108.53/118, 0.722)"	1.08	<20.57	1.75^+0.05_-0.04	51.39	91.73	42.72	42.95^+0.05_-0.06	43.3 (43.4dagger)	-5.567
B2 1204+34	"C1+BAT (8.50/13, 0.810)"	1.36	25.35^+0.56_-1.08 (0.70^+0.21_-0.15)	1.50^+0.37	4.59	11.66	43.35	43.74^+0.68_-0.40	44.4 (44.4dagger)	-4.362
CGCG 041-020	"C1 (334.61/315, 0.214)"	1.18	23.10^+0.02_-0.02 (0.99)	1.50^+0.04	0.33	51.59	42.96	43.36^+0.04_-0.04	43.8 (44.0dagger)	-5.011
CGCG 291-028	"S2+BAT (8.81/7, 0.266)"	0.61	23.87^+0.17_-0.30	2.20*	0	6.63	43.34	43.28^+0.47_-0.68	43.4 (43.5)	< - 4.342
FBQS J110340.2+372925	"S2+BAT (52.36/49, 0.345)"	1.64	<20.95	1.69^+0.15_-0.12	16.84	33.94	43.37	43.64^+0.14_-0.15	44.1 (44.2dagger)	-4.442
H 1419+480	"S7 (1143.32/1051, 0.024)"	1.64	<20.01	1.83^+0.03_-0.02	40.14	71.63	43.75	43.95^+0.02_-0.03	44.4 (44.4)	-5.316
IC 2637	"S6 (804.05/786, 0.320)"	2.23	-	1.69^+0.04_-0.04	16.97	29.92	42.53	42.75^+0.04_-0.05	43.5 (43.2dagger)	-3.998
IC 2921	"C1+BAT (52.41/38, 0.060)"	3.21	21.85^+0.15_-0.24 (0.89^+0.10_-0.08)	2.09^+0.11_-0.21	11.38	26.66	43.08	43.08^+0.21_-0.11	43.9 (43.8)	< - 5.121
II SZ 010	"S2+BAT (316.86/76, 0.000)"	2.65	<20.52	2.20_-0.00	50.4	47.83	43.17	43.11^+0.03_-0.03	43.6 (43.1dagger)	< - 5.510
KUG 1141+371	"C2 (736.77/689, 0.101)"	1.65	23.16^+0.37_-0.33 (0.24^+0.10_-0.10)	1.80^+0.04_-0.04	9.92	19.42	42.64	42.85^+0.09_-0.08	43.7 (43.2dagger)	< - 5.030
KUG 1141+371	"S3 (748.57/690, 0.060)"	1.65	-	1.75^+0.03_-0.03	10.04	18.44	42.53	42.78^+0.03_-0.03	43.7 (43.2dagger)	< - 4.982
KUG 1208+386	"C1+BAT (287.72/230, 0.006)"	1.84	23.16^+0.04_-0.04 (0.97^+0.01_-0.00)	1.72^+0.04_-0.04	0.71	29.53	42.5	42.75^+0.07_-0.07	43.4 (43.3dagger)	-4.668
MCG -01-30-041	"C1+BAT (5.28/6, 0.509)"	2.16	24.16^+0.18_-0.16 (0.99^+0.01_-0.02)	1.96^+0.20_-0.26	1.37	14.61	42.99	43.08^+0.42_-0.54	43.0 (43.3dagger)	-5.101
MCG +05-28-032	"C1+BAT (14.55/15, 0.485)"	1.56	22.71^+0.20_-0.28 (1.00^+0.00_-1.00)	1.51^+0.12_-1.51	1.17	51.53	42.48	42.87^+0.17_-0.16	43.5 (43.6dagger)	-4.55
MCG +05-28-032	"S2+BAT (14.54/16, 0.558)"	1.56	22.70^+0.25_-0.28	1.51^+0.12_-1.51	1.16	51.54	42.48	42.87^+0.17_-0.16	43.5 (43.6dagger)	-4.55
MCG +06-24-008	"C1+BAT (4.72/7, 0.694)"	1.26	23.81^+0.55_-1.26 (0.79^+0.21_-0.48)	1.50^+0.46	9.04	46.06	42.81	43.20^+0.90_-0.81	43.3 (43.3)	-4.895
MCG +06-24-008	"S2+BAT (6.04/8, 0.643)"	1.26	22.96^+0.31_-1.05	1.50^+0.38	0.18	34.11	42.46	42.85^+0.33_-0.47	43.3 (43.3)	-4.671
MCG +09-19-015	"C1+BAT (3.28/6, 0.773)"	0.78	<25.23 (0.64*)	1.95^+0.25_-0.43	9.9	19.37	43.51	43.61^+0.74_-43.61	44.0 (43.9dagger)	< - 5.191
MCG +09-19-015	"S2+BAT (3.63/7, 0.821)"	0.78	<23.39	1.80^+0.36_-0.29	0.25	17.69	43.26	43.46^+0.70_-43.46	44.0 (43.9dagger)	< - 5.091
MCG+10-17-061	"C1+BAT (30.58/23, 0.133)"	1.31	22.91^+0.18_-0.23 (0.85^+0.07_-0.07)	2.13^+0.07_-0.12	8.06	35.19	42.05	42.03^+0.20_-0.15	42.5 (42.1dagger)	-4.81
MRK 0783	"S2+BAT (42.52/34, 0.150)"	1.89	21.16^+0.19_-0.24	1.50^+0.07	14.32	45.81	43.28	43.68^+0.05_-0.08	44.3 (44.4dagger)	-3.996
MRK 1310	"C1+BAT (71.21/74, 0.570)"	2.5	24.23^+0.24_-0.18 (0.79^+0.06_-0.10)	1.96^+0.07_-0.07	38.85	61.82	43.2	43.29^+0.20_-0.21	43.1 (43.5dagger)	-5.619
Mrk 1383	"S4 (427.24/371, 0.023)"	2.6	-	2.06^+0.05_-0.05	83.27	80.88	44.22	44.17^+0.05_-0.05	44.5 (44.5)	-5.481
MRK 1392	"C1+BAT (31.35/35, 0.645)"	3.8	23.56^+0.36_-0.35 (0.57^+0.16_-0.25)	2.02^+0.13_-0.13	17.94	32.62	43.13	43.19^+0.29_-0.29	43.8 (43.4dagger)	-4.56
Mrk 198	"C2 (649.78/654, 0.539)"	1.66	23.00^+0.01_-0.01 (0.99)	1.61^+0.04_-0.04	0.65	51.25	42.66	42.98^+0.06_-0.05	43.5 (43.6dagger)	-4.735
Mrk 202	"C1 (207.46/164, 0.012)"	1.44	23.80^+0.74_-0.30 (0.33^+0.62_-0.33)	1.87^+0.10_-0.08	14.03	23	42.32	42.48^+0.82_-0.22	42.9 (42.9)	< - 5.162
Mrk 268	"C2 (505.01/339, 0.000)"	1.37	23.72^+0.02_-0.02 (0.99)	1.89^+0.04_-0.04	0.56	24.65	43.33	43.48^+0.05_-0.05	43.8 (44.0dagger)	-3.991
Mrk 417	"C1+BAT (129.03/81, 0.001)"	1.88	24.08^+0.02_-0.02 (0.99)	1.87^+0.04_-0.04	0.51	16.35	43.36	43.51^+0.07_-0.07	43.9 (43.9dagger)	< - 5.798
Mrk 463	"C2 (419.98/162, 0.000)"	2.03	23.82^+0.03_-0.03 (0.96^+0.01_-0.01)	2.20_-0.02	0.97	5.99	43.2	43.15^+0.03_-0.05	43.8 (43.8)	-2.554
Mrk 464	"C1 (397.20/390, 0.390)"	1.42	23.98^+0.34_-0.43 (0.49^+0.28_-0.22)	1.72^+0.03_-0.03	11.98	25.8	43.14	43.39^+0.37_-0.18	44.1 (44.1)	-4.158
Mrk 477	"C1 (82.02/87, 0.631)"	1.05	23.80^+0.17_-0.17 (0.95^+0.03_-0.05)	1.74^+0.24_-1.74	1.53	16.26	43.01	43.25^+0.09_-0.51	43.6 (43.7)	-3.768
Mrk 50	"S4 (902.32/879, 0.285)"	1.58	-	1.95^+0.02_-0.02	109.79	126.46	43.14	43.19^+0.02_-0.02	43.5 (43.4)	< - 5.778
Mrk 728	"S3 (616.39/633, 0.674)"	2.02	-	1.77^+0.03_-0.02	21.34	37.28	42.8	43.03^+0.02_-0.03	43.5 (43.5)	-4.872
Mrk 744	"C2 (517.06/538, 0.734)"	2.03	22.59^+0.02_-0.02 (0.97)	1.50^+0.02	3.04	66.74	41.73	42.13^+0.02_-0.03	42.6 (42.6)	-4.59
Mrk 766	"S6 (3841.54/2358, 0.000)"	1.78	20.45^+0.08_-0.06	1.50^+0.00	34.29	66.57	42.16	42.38^+0.00_-0.00	42.9 (42.6dagger)	-3.96
Mrk 813	"S2+BAT (75.65/76, 0.490)"	2.59	-	1.99^+0.06_-0.05	39.27	49.43	44.11	44.18^+0.05_-0.05	44.6 (44.2dagger)	-5.186
Mrk 817	"S6 (587.32/562, 0.222)"	1.15	<20.12	2.09^+0.02_-0.02	157.81	143.66	43.56	43.50^+0.02_-0.03	43.8 (43.5dagger)	-4.939
Mrk 841	"S6 (1053.49/941, 0.006)"	2.22	-	2.13^+0.02_-0.02	139.24	127.78	43.65	43.58^+0.02_-0.02	44.0 (44.0)	< - 5.811
NGC 3227	"C2 (1988.13/1775, 0.000)"	1.99	23.02^+0.01_-0.01 (0.92)	1.50^+0.01	3.83	84.25	41.18	41.58^+0.01_-0.02	42.6 (42.7)	-3.917
NGC 3758	"S4 (767.93/756, 0.374)"	2	21.05^+0.14_-0.18	1.96^+0.04_-0.04	33.91	51.62	42.96	43.01^+0.05_-0.05	43.4 (43.4dagger)	-5.089
NGC 3998	"S2 (640.90/675, 0.823)"	1.01	20.37^+0.12_-0.17	1.84^+0.03_-0.02	75.99	121.1	41.32	41.49^+0.03_-0.03	41.7 (41.7)	-3.799
NGC 4051	"S8 (2277.83/1202, 0.000)"	1.15	-	1.53*	47.69	61.74	40.77	40.86^+0.01_-0.01	41.7 (41.7)	-4.394
NGC 4102	"C1+BAT (143.35/80, 0.000)"	1.68	24.51^+0.04_-0.03 (0.99)	2.20_-0.02	2.76	5.41	41.75	41.69^+0.03_-0.02	41.7 (41.6dagger)	-3.789
NGC 4138	"C2 (408.63/332, 0.003)"	1.25	23.12^+0.02_-0.02 (0.99)	1.61^+0.05_-0.06	0.51	53.98	40.89	41.21^+0.09_-0.09	41.8 (41.8)	< - 5.648
NGC 4151	"C2 (11118.00/2780, 0.000)"	2.3	23.23^+0.00_-0.00 (0.97)	2.20_-0.00	29.49	409.58	42.33	42.28^+0.00_-0.00	43.1 (43.1)	-4.189
NGC 4235	"C2 (502.43/514, 0.634)"	1.45	21.47^+0.10_-0.12 (0.82^+0.08_-0.05)	1.62^+0.05_-0.05	9.19	28.52	41.28	41.60^+0.06_-0.06	42.7 (42.7)	-4.489
NGC 4235	"S3 (511.43/515, 0.536)"	1.45	21.22^+0.04_-0.05	1.57^+0.04_-0.04	9.19	28.93	41.25	41.61^+0.04_-0.04	42.7 (42.7)	-4.487
NGC 4258	"C1 (803.72/450, 0.000)"	1.6	23.26^+0.01_-0.01 (0.98)	2.14^+0.02_-0.02	2.43	65.31	40.84	40.82^+0.03_-0.03	41.1 (41.0)	-5.622
NGC 4388	"C1+BAT (346.01/217, 0.000)"	2.58	23.81^+0.02_-0.02 (0.99)	1.82^+0.02_-0.02	2.5	76.57	42.5	42.68^+0.04_-0.04	43.6 (43.6)	-4.829
NGC 4395	"C2 (503.48/476, 0.185)"	1.85	23.01^+0.02_-0.02 (0.98)	1.50^+0.02	0.77	59.4	39.9	40.32^+0.02_-0.03	40.8 (40.9)	-5.573
NGC 4579	"S3 (1568.92/1153, 0.000)"	2.97	20.44^+0.08_-0.10	2.01^+0.02_-0.02	25.25	36.41	41.2	41.30^+0.02_-0.02	41.8 (41.8)	-3.773
NGC 4593	"S6 (1803.06/1562, 0.000)"	1.89	20.57^+0.08_-0.09	1.83^+0.01_-0.01	256.45	377.74	42.71	42.82^+0.01_-0.01	43.2 (43.1)	-5.809
NGC 4619	"C1 (158.50/162, 0.563)"	1.39	21.08^+0.95_-0.65 (0.93^+0.07_-0.79)	1.61^+0.20_-1.61	4.6	11.85	41.83	42.14^+0.08_-0.21	42.9 (43.0)	-4.572
NGC 4619	"S2 (158.56/163, 0.584)"	1.39	21.01^+0.32_-0.72	1.61^+0.15_-1.61	4.62	11.93	41.83	42.15^+0.07_-0.13	42.9 (43.0)	-4.572
NGC 4686	"C1+BAT (119.36/61, 0.000)"	1.35	23.89^+0.03_-0.03 (0.99)	2.00^+0.05_-0.05	0.23	8.47	42.38	42.44^+0.10_-0.10	43.2 (42.7dagger)	-4.972
NGC 4939	"C1+BAT (16.78/9, 0.052)"	3.3	23.81^+0.16_-0.13 (0.98^+0.01_-0.01)	1.50^+0.13	0.36	15.44	41.72	42.12^+0.20_-0.17	42.8 (42.9dagger)	< - 5.576
NGC 4941	"C1+BAT (57.40/64, 0.707)"	2.17	24.12^+0.12_-0.17 (0.97^+0.03_-0.07)	1.84^+0.23_-0.23	2.13	12.75	41.3	41.47^+0.23_-0.24	41.8 (41.8)	-4.572
NGC 5033	"S3 (837.13/834, 0.463)"	1.06	<20.08	1.70^+0.03_-0.02	22.92	44.6	40.63	40.91^+0.03_-0.03	41.1 (41.2)	-4.401
NGC 5106	"C1+BAT (10.83/10, 0.371)"	1.71	24.13^+0.17_-0.39 (0.93^+0.07_-0.13)	1.78^+0.42_-1.78	6.21	25.21	43.33	43.54^+0.58_-43.54	43.5 (44.0dagger)	-3.91
NGC 5231	"C2 (607.80/582, 0.222)"	1.88	22.57^+0.02_-0.02 (0.99)	1.68^+0.05_-0.05	3.3	61.69	42.6	42.88^+0.07_-0.07	43.3 (43.5dagger)	-4.86
NGC 5252	"C2 (2827.17/2270, 0.000)"	2.14	22.72^+0.01_-0.01 (0.96)	1.50^+0.00	3.5	94.79	42.72	43.13^+0.01_-0.01	44.1 (44.2)	-4.704
NGC 5273	"S10 (1054.39/841, 0.000)"	0.92	-	1.50^+0.00	13.14	59.75	40.79	41.21^+0.01_-0.01	41.6 (41.5)	-5.089
NGC 5290	"S2+BAT (30.61/31, 0.486)"	0.94	22.05^+0.08_-0.09	1.50^+0.03	8.37	67.64	41.66	42.05^+0.04_-0.06	42.5 (42.8dagger)	-4.807
NGC 5506	"C2 (2029.06/1850, 0.002)"	4.08	22.63^+0.01_-0.01 (0.99)	1.69^+0.01_-0.01	28.21	668.44	42.55	42.83^+0.02_-0.02	43.3 (43.4)	-4.118
NGC 5548	"S11 (3263.75/2420, 0.000)"	1.55	-	1.71^+0.00_-0.00	207.31	391.76	43.17	43.40^+0.00_-0.01	43.7 (43.6)	-5.242
NGC 5610	"S2+BAT (21.63/14, 0.087)"	1.9	22.89^+0.13_-0.16	1.63^+0.12_-0.11	0.37	40.74	42.24	42.55^+0.22_-0.22	43.1 (43.2dagger)	-4.153
NGC 5674	"C1+BAT (7.92/17, 0.968)"	2.48	23.05^+0.19_-0.12 (0.95^+0.05_-0.07)	2.14^+0.06_-0.25	4.15	48.52	43.07	43.04^+0.26_-0.19	43.3 (43.3)	-4.975
NGC 5674	"S2+BAT (8.11/18, 0.977)"	2.48	22.94^+0.10_-0.14	2.09^+0.11_-0.38	0.59	48.37	43.01	43.01^+0.37_-0.29	43.3 (43.3)	-4.948
NGC 5683	"C1+BAT (6.97/10, 0.729)"	2.87	22.56^+0.42_-0.48 (0.68^+0.12_-0.28)	2.15^+0.05_-0.31	2.19	5.1	42.28	42.24^+0.28_-0.25	43.6 (43.6)	< - 4.471
NGC 5899	"C2 (645.03/605, 0.126)"	1.8	23.24^+0.01_-0.01 (0.99)	1.84^+0.04_-0.04	0.37	52.86	42.02	42.20^+0.06_-0.06	42.5 (42.5)	-4.7
PG 1114+445	"S10 (1254.56/1133, 0.007)"	1.77	-	1.50^+0.01	5.52	22.33	43.66	44.06^+0.01_-0.01	44.7 (44.7)	< - 5.010
PG 1138+222	"C1+BAT (116.81/99, 0.107)"	2.02	24.52^+0.43_-0.21 (0.79^+0.05_-0.07)	2.02^+0.06_-0.05	39.89	49.93	44.28	44.33^+0.15_-0.16	44.2 (44.5dagger)	-5.714
PG 1202+281	"S6 (1044.22/903, 0.001)"	1.77	-	1.88^+0.02_-0.02	24.14	33.52	44.28	44.39^+0.02_-0.02	44.9 (44.8)	< - 5.215
SBS 1136+594	"C1+BAT (134.38/124, 0.247)"	0.94	22.39^+0.22_-0.22 (0.36^+0.08_-0.12)	2.17^+0.03_-0.06	49.69	63.58	43.8	43.75^+0.09_-0.06	44.3 (43.8dagger)	< - 5.554
SBS 1136+594	"S2+BAT (151.40/125, 0.054)"	0.94	<20.46	2.05^+0.04_-0.03	50.85	57.38	43.65	43.69^+0.04_-0.05	44.3 (43.8dagger)	< - 5.530
SDSS J104326.47+110524.2	"S2+BAT (80.53/89, 0.728)"	2.47	20.82^+0.19_-0.32	1.83^+0.10_-0.09	29.18	51.99	43.26	43.43^+0.10_-0.10	43.9 (43.8)	< - 5.403
SWIFT J1303.9+5345	"C1 (1069.08/1048, 0.318)"	1.69	23.66^+0.17_-0.17 (0.33^+0.07_-0.06)	1.85^+0.02_-0.02	92.89	162.47	43.46	43.62^+0.06_-0.05	43.9 (44.0dagger)	-5.948
SWIFT J1303.9+5345	"S4 (1090.34/1045, 0.161)"	1.69	-	1.71^+0.02_-0.02	92.85	155.66	43.28	43.49^+0.03_-0.03	43.9 (44.0dagger)	-5.833
SWIFT J1309.2+1139	"C1+BAT (227.36/106, 0.000)"	1.93	24.00^+0.02_-0.02 (1.00)	1.50^+0.03	0.1	22.19	42.85	43.24^+0.05_-0.05	43.9 (44.0dagger)	-5.394
UGC 05881	"C1+BAT (7.81/13, 0.856)"	2.51	24.39^+0.15_-0.14 (0.92^+0.03_-0.09)	2.05^+0.15_-0.31	22.63	33.48	43.44	43.47^+0.48_-43.47	43.3 (43.6dagger)	-5.245
UGC 06527	"C1 (84.84/35, 0.000)"	1.09	24.05^+0.03_-0.03 (0.99)	2.20_-0.03	0.39	5.45	42.96	42.90^+0.06_-0.04	43.2 (43.2)	-3.923
UGC 08327 NED02	"S2+BAT (22.85/17, 0.154)"	1.48	23.16^+0.15_-0.17	2.02^+0.14_-0.13	0.13	62.03	43.48	43.53^+0.27_-0.27	43.7 (43.7dagger)	-4.732
UGC 7064	"C2 (876.84/648, 0.000)"	1.35	23.00^+0.02_-0.02 (0.95^+0.01_-0.01)	1.88^+0.02_-0.07	1.24	22.97	42.51	42.67^+0.06_-0.06	43.3 (43.1dagger)	-4.54
UM 614	"S3 (135.25/157, 0.895)"	1.79	21.11^+0.11_-0.11	1.50^+0.08	4.11	14.18	42.1	42.53^+0.03_-0.07	43.6 (43.3dagger)	-4.761
Was 49b	"C1 (120.87/139, 0.864)"	1.77	23.59^+0.18_-0.20 (0.87^+0.04_-0.05)	1.50^+0.12	1.5	14.58	43.05	43.45^+0.15_-0.22	44.2 (44.3)	< - 5.226
